ADES,DATE,N,N_VALID,SUM_TRAVEL,SUM_REF,CHECK_ADD,SUM_ADD_TIME,OK,AVG_ADD_TIME
SBCF,2023-05-01T00:00:00Z,3778,2977,71583.3333333334,63418.98666666455,8164.346666666671,8164.346666668855,TRUE,2.7424745269294104
SBCF,2023-06-01T00:00:00Z,3502,2709,65266.733333333454,57612.16666666475,7654.566666666646,7654.566666668703,TRUE,2.8256060046765237
SBCF,2023-07-01T00:00:00Z,3896,3093,74305.66666666669,65698.98666666447,8606.680000000017,8606.68000000222,TRUE,2.782631749111613
SBCF,2023-08-01T00:00:00Z,3751,2990,71274.8666666664,63676.24666666412,7598.619999999989,7598.620000002287,TRUE,2.541344481606116
SBCF,2023-09-01T00:00:00Z,3615,2857,67503.2833333333,60686.00999999794,6817.273333333331,6817.2733333353535,TRUE,2.3861649749161193
SBCF,2023-10-01T00:00:00Z,3928,3046,72909.23333333324,65039.96333333081,7869.269999999994,7869.270000002427,TRUE,2.5834766907427533
SBCF,2023-11-01T00:00:00Z,3710,2872,68333.63333333317,61269.64666666465,7063.986666666666,7063.986666668519,TRUE,2.4596053853302644
SBCF,2023-12-01T00:00:00Z,3940,3110,75368.56666666674,66540.91999999757,8827.646666666655,8827.64666666917,TRUE,2.8384715969997334
SBBR,2023-01-01T00:00:00Z,5374,4486,110553.73333333332,98679.15000000017,11874.583333333303,11874.583333333154,TRUE,2.647031505424243
SBBR,2023-02-01T00:00:00Z,4579,3867,95237.06666666648,85573.57000000005,9663.496666666675,9663.496666666426,TRUE,2.4989647444185223
SBBR,2023-03-01T00:00:00Z,5049,4222,105081.93333333355,93310.9700000003,11770.963333333328,11770.963333333246,TRUE,2.788006474024928
SBBR,2023-04-01T00:00:00Z,4903,4173,104125.9500000004,92068.00333333362,12057.946666666705,12057.946666666787,TRUE,2.8895151369918013
SBBR,2023-05-01T00:00:00Z,5843,4918,123108.36666666686,108703.85333333383,14404.51333333336,14404.51333333303,TRUE,2.928937237359299
SBBR,2023-06-01T00:00:00Z,5613,4735,119931.24999999974,104737.89000000033,15193.360000000035,15193.359999999404,TRUE,3.208734952481395
SBBR,2023-07-01T00:00:00Z,5392,4423,110523.30000000018,97771.4333333336,12751.866666666707,12751.866666666581,TRUE,2.8830808651744473
SBBR,2023-08-01T00:00:00Z,5528,4658,115389.93333333357,103019.49333333275,12370.440000000024,12370.440000000817,TRUE,2.65574066122817
SBBR,2023-09-01T00:00:00Z,5170,4315,106554.58333333337,95581.85999999991,10972.723333333328,10972.723333333459,TRUE,2.542925453843212
SBBR,2023-10-01T00:00:00Z,5288,4407,107475.09999999999,97783.83666666725,9691.263333333365,9691.26333333274,TRUE,2.19906134180457
SBBR,2023-11-01T00:00:00Z,5008,4203,102114.36666666673,92997.29666666688,9117.069999999982,9117.069999999847,TRUE,2.1691815369973466
SBBR,2023-12-01T00:00:00Z,5306,4351,107538.43333333325,96260.11666666654,11278.316666666678,11278.31666666671,TRUE,2.59212058530607
SBSV,2023-01-01T00:00:00Z,2841,2840,67725.7499999999,61464.25666666786,6261.493333333341,6261.493333332037,TRUE,2.2047511737084635
SBSV,2023-02-01T00:00:00Z,2311,2311,55400.583333333314,50469.64666666769,4930.936666666668,4930.936666665621,TRUE,2.1336809461988837
SBSV,2023-03-01T00:00:00Z,2218,2217,52560.683333333356,48115.76000000096,4444.923333333341,4444.923333332394,TRUE,2.004927078634368
SBSV,2023-04-01T00:00:00Z,2204,2204,52306.86666666669,48468.17000000085,3838.696666666663,3838.696666665841,TRUE,1.7416954022984759
SBSV,2023-05-01T00:00:00Z,2503,2502,61909.41666666672,55914.293333334506,5995.1233333333485,5995.123333332216,TRUE,2.396132427390974
SBSV,2023-06-01T00:00:00Z,2428,2426,59164.61666666652,53720.57333333421,5444.043333333328,5444.043333332316,TRUE,2.244040945314228
SBSV,2023-07-01T00:00:00Z,2978,2977,71597.91666666683,65248.073333334876,6349.843333333323,6349.843333331955,TRUE,2.132967192923062
SBSV,2023-08-01T00:00:00Z,2750,2748,65035.59999999996,59790.99666666773,5244.603333333333,5244.603333332234,TRUE,1.908516496845791
